Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202012,04,294000,019,0303,62140 ,00000 ,25259 ,536,46060, , ,85629      ,4,8,12,Sahuarita town,578,578,185195057,0,0,0,0,0,0,0,0,0,578,578,185195057,0,0,0,0,0,0,0,0,0
202012,04,297000,027,0321,63470 ,00000 ,25505 ,999,49740, , ,85349      ,4,8,12,San Luis,366,366,55869331,0,0,0,0,0,0,0,0,0,366,366,55869331,0,0,0,0,0,0,0,0,0
202012,04,301000,023,    ,99990 ,00000 ,25670 ,999,99999, , ,856211090  ,4,8,12,Santa Cruz County Unincorporated Area,189,189,43328581,0,0,0,0,0,0,0,0,0,189,189,43328581,0,0,0,0,0,0,0,0,0
202012,04,305000,013,0327,65000 ,00000 ,217385 ,429,38060, ,1,85251      ,4,8,11,Scottsdale,570,570,171981566,4,8,1676841,6,23,6511480,36,1023,111867020,508,508,141089560,3,6,1143059,5,20,5815234,35,983,105982692
202012,04,317000,017,0337,66470 ,00000 ,10660 ,999,99999, , ,85901      ,4,8,12,Show Low,156,156,38035804,0,0,0,0,0,0,1,11,330000,156,156,38035804,0,0,0,0,0,0,1,11,330000
202012,04,321000,003,0338,66820 ,00000 ,43888 ,999,43420, ,1,85635      ,4,8,12,Sierra Vista,97,97,16632000,0,0,0,0,0,0,0,0,0,97,97,16632000,0,0,0,0,0,0,0,0,0
202012,04,329000,027,0342,68080 ,00000 ,14287 ,999,49740, , ,85350      ,4,8,12,Somerton,78,78,12374471,0,0,0,0,0,0,0,0,0,78,78,12374471,0,0,0,0,0,0,0,0,0
202012,04,333000,019,0344,68850 ,00000 ,5652 ,536,46060, , ,857132803  ,4,8,12,South Tucson,6,6,935000,0,0,0,0,0,0,0,0,0,6,6,935000,0,0,0,0,0,0,0,0,0
202012,04,345000,021,0359,71300 ,00000 ,2837 ,429,38060,2, ,852733409  ,4,8,0,Superior town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202012,04,349000,013,0361,71510 ,00000 ,117517 ,429,38060, , ,85374      ,4,8,12,Surprise,2468,2468,759103895,0,0,0,0,0,0,1,47,10121849,2468,2468,759103895,0,0,0,0,0,0,1,47,10121849
