@type|@id|name|name:en|place|wikidata|@lat|@lon
way|21014057|Tigvariak Island||island||70.2196807|-147.2191760
way|21014166|Pole Island||island||70.3063078|-147.0999614
way|21014195|Foggy Island||island||70.2605887|-147.8651010
way|21014404|Dutchess Island||island||70.2274051|-146.4296101
way|21031162|Rae Island||island||69.5370600|-135.1069000
way|21033745|Thetis Island||island||70.5521715|-150.1840259
way|21039315|Icy Reef||island||69.7736287|-141.7442054
way|21048496|Igalik Island||islet||71.1772608|-155.2751186
way|21069601|Chamisso Island||island|Q595925|66.2181786|-161.8253007
way|21069690|Puffin Island||islet|Q7258880|66.2275967|-161.8586325
way|21098390|Kinuk Island||island||67.0254511|-162.4754315
way|21476875|Dushkot Island||islet||53.7584116|-166.5046612
way|21476944|Peter Island||island||53.6942321|-166.8407044
way|21476974|Hog Island||islet||53.9036191|-166.5717521
way|21477047|Egg Island|Egg Island|island|Q604037|53.8621363|-166.0501588
way|21477318|Gull Island||islet||53.6683379|-166.8191824
way|21485685|Breadloaf Island||islet||52.8277780|-169.0614784
